"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)"
"0","4.967e-06","4.508","5.597809e-09"
"0.00025","4.967e-06","","5.597809e-09"
"0.0005","5.005e-06","","1.123844e-08"
"0.00075","5.067e-06","","1.694895e-08"
"0.001","5.09e-06","4.508","2.268538e-08"
"0.00125","4.75e-06","","2.803745e-08"
"0.0015","5.015e-06","","3.36881e-08"
"0.00175","5.393e-06","","3.976466e-08"
"0.002","5.142e-06","4.507","4.555841e-08"
"0.00225","5.525e-06","","5.177265e-08"
"0.0025","9.935e-06","","6.294704e-08"
"0.00275","2.7704e-05","","9.410712e-08"
"0.003","6.7934e-05","4.499","1.705159e-07"
"0.00325","0.000211617","","4.081089e-07"
"0.0035","0.000293571","","7.377157e-07"
"0.00375","0.00036472","","1.147205e-06"
"0.004","0.000420639","4.491","1.619478e-06"
"0.00425","0.000473594","","2.152152e-06"
"0.0045","0.000538796","","2.758163e-06"
"0.00475","0.000624012","","3.460021e-06"
"0.005","0.00072512","4.499","4.275599e-06"
"0.00525","0.000900851","","5.293561e-06"
"0.0055","0.000902968","","6.313915e-06"
"0.00575","0.000811017","","7.230364e-06"
"0.006","0.00063522","4.52","7.948163e-06"
"0.00625","0.000193877","","8.167535e-06"
"0.0065","2.2703e-05","","8.193223e-06"
"0.00675","-7.789e-05","","8.10509e-06"
"0.007","-0.000108095","4.526","7.982781e-06"
"0.00725","-4.6867e-05","","7.929938e-06"
"0.0075","-9.761e-06","","7.918933e-06"
"0.00775","7.695e-06","","7.927609e-06"
"0.008","3.374e-06","4.51","7.931413e-06"
"0.00825","-3.6005e-05","","7.890836e-06"
"0.0085","-4.7643e-05","","7.837142e-06"
"0.00875","-4.5638e-05","","7.785708e-06"
"0.009","-3.108e-05","4.508","7.750681e-06"
"0.00925","9.742e-06","","7.76166e-06"
"0.0095","2.2055e-05","","7.786516e-06"
"0.00975","2.5473e-05","","7.815224e-06"
"0.01","2.0836e-05","4.508","7.838706e-06"
"0.01025","1.2096e-05","","7.852338e-06"
"0.0105","3.478e-06","","7.856258e-06"
"0.01075","-1.329e-06","","7.85476e-06"
"0.011","-2.312e-06","4.508","7.852155e-06"
"0.01125","4.452e-06","","7.857172e-06"
"0.0115","8.531e-06","","7.866786e-06"
"0.01175","1.0342e-05","","7.878442e-06"
"0.012","1.0106e-05","4.508","7.889831e-06"
"0.01225","5.355e-06","","7.895866e-06"
"0.0125","3.469e-06","","7.899776e-06"
"0.01275","2.221e-06","","7.902279e-06"
"0.013","2.713e-06","4.508","7.905337e-06"
"0.01325","4.939e-06","","7.910902e-06"
"0.0135","6.367e-06","","7.918076e-06"
"0.01375","6.679e-06","","7.925601e-06"
"0.014","6.277e-06","4.507","7.932674e-06"
"0.01425","4.712e-06","","7.937984e-06"
"0.0145","4.4e-06","","7.942943e-06"
"0.01475","4.136e-06","","7.947604e-06"
"0.015","4.4e-06","4.508","7.952563e-06"
"0.01525","4.651e-06","","7.957805e-06"
"0.0155","5.331e-06","","7.963813e-06"
"0.01575","5.762e-06","","7.970307e-06"
"0.016","5.544e-06","4.508","7.976555e-06"
"0.01625","5.043e-06","","7.982238e-06"
"0.0165","5.105e-06","","7.987991e-06"
"0.01675","5.081e-06","","7.993718e-06"
"0.017","4.712e-06","4.508","7.999028e-06"
"0.01725","4.651e-06","","8.00427e-06"
"0.0175","5.128e-06","","8.010049e-06"
"0.01775","4.977e-06","","8.015658e-06"
"0.018","5.218e-06","4.508","8.021539e-06"
"0.01825","4.915e-06","","8.027078e-06"
"0.0185","5.407e-06","","8.033172e-06"
"0.01875","5.081e-06","","8.038898e-06"
"0.019","4.651e-06","4.508","8.04414e-06"
"0.01925","5.043e-06","","8.049823e-06"
"0.0195","4.863e-06","","8.055304e-06"
"0.01975","4.826e-06","","8.060743e-06"
"0.02","5.09e-06","4.508","8.066479e-06"
"0.02025","5.029e-06","","8.072147e-06"
"0.0205","4.901e-06","","8.07767e-06"
"0.02075","5.043e-06","","8.083354e-06"
"0.021","5.369e-06","4.508","8.089405e-06"
"0.02125","5.279e-06","","8.095354e-06"
"0.0215","5.331e-06","","8.101362e-06"
"0.02175","5.27e-06","","8.107301e-06"
"0.022","5.09e-06","4.508","8.113038e-06"
"0.02225","5.119e-06","","8.118807e-06"
"0.0225","4.991e-06","","8.124432e-06"
"0.02275","5.005e-06","","8.130072e-06"
"0.023","4.901e-06","4.508","8.135596e-06"
"0.02325","5.105e-06","","8.141349e-06"
"0.0235","5.128e-06","","8.147128e-06"
"0.02375","4.939e-06","","8.152695e-06"
"0.024","5.308e-06","4.508","8.158677e-06"
"0.02425","5.393e-06","","8.164755e-06"
"0.0245","5.09e-06","","8.170491e-06"
"0.02475","5.157e-06","","8.176303e-06"
"0.025","5.043e-06","4.508","8.181987e-06"
"0.02525","5.194e-06","","8.18784e-06"
"0.0255","4.84e-06","","8.193295e-06"
"0.02575","4.854e-06","","8.198765e-06"
"0.026","5.119e-06","4.508","8.204534e-06"
"0.02625","4.764e-06","","8.209903e-06"
"0.0265","5.105e-06","","8.215657e-06"
"0.02675","4.613e-06","","8.220856e-06"
"0.027","5.128e-06","4.508","8.226635e-06"
"0.02725","4.689e-06","","8.231919e-06"
"0.0275","5.142e-06","","8.237714e-06"
"0.02775","4.627e-06","","8.242929e-06"
"0.028","5.043e-06","4.508","8.248613e-06"
"0.02825","4.892e-06","","8.254126e-06"
"0.0285","5.18e-06","","8.259964e-06"
"0.02875","5.105e-06","","8.265717e-06"
"0.029","5.119e-06","4.508","8.271486e-06"
"0.02925","4.901e-06","","8.27701e-06"
"0.0295","5.256e-06","","8.282933e-06"
"0.02975","5.317e-06","","8.288925e-06"
"0.03","5.005e-06","4.508","8.294566e-06"
"0.03025","5.081e-06","","8.300292e-06"
"0.0305","5.142e-06","","8.306087e-06"
"0.03075","5.09e-06","","8.311824e-06"
"0.031","5.204e-06","4.508","8.317689e-06"
"0.03125","4.892e-06","","8.323202e-06"
"0.0315","5.142e-06","","8.328997e-06"
"0.03175","4.854e-06","","8.334467e-06"
"0.032","5.105e-06","4.508","8.340221e-06"
"0.03225","5.194e-06","","8.346074e-06"
"0.0325","5.279e-06","","8.352024e-06"
"0.03275","5.459e-06","","8.358176e-06"
"0.033","5.005e-06","4.508","8.363817e-06"
"0.03325","5.081e-06","","8.369543e-06"
"0.0335","5.053e-06","","8.375238e-06"
"0.03375","5.331e-06","","8.381246e-06"
"0.034","5.015e-06","4.508","8.386898e-06"
"0.03425","5.119e-06","","8.392667e-06"
"0.0345","4.967e-06","","8.398265e-06"
"0.03475","5.142e-06","","8.40406e-06"
"0.035","5.459e-06","4.508","8.410212e-06"
"0.03525","5.218e-06","","8.416093e-06"
"0.0355","4.901e-06","","8.421616e-06"
"0.03575","4.953e-06","","8.427198e-06"
"0.036","4.991e-06","4.508","8.432823e-06"
"0.03625","5.407e-06","","8.438915e-06"
"0.0365","4.939e-06","","8.44448e-06"
"0.03675","4.939e-06","","8.450045e-06"
"0.037","4.854e-06","4.507","8.455515e-06"
"0.03725","5.053e-06","","8.461209e-06"
"0.0375","4.854e-06","","8.46668e-06"
"0.03775","4.967e-06","","8.472278e-06"
"0.038","4.93e-06","4.508","8.477834e-06"
"0.03825","4.967e-06","","8.483431e-06"
"0.0385","5.218e-06","","8.489312e-06"
"0.03875","5.029e-06","","8.49498e-06"
"0.039","4.778e-06","4.508","8.500365e-06"
"0.03925","4.986e-06","","8.505979e-06"
